03-13 17:26:53.101   27885-27885   A00001/org.ope...er/SVGAPlayer  org.opens...gaplayer  D     [SVGAProtoParser] parseMovieParamsFromReader: tag=13, fieldNum=1, wireType=5, pos=1
03-13 17:26:53.101   27885-27885   A00001/org.ope...er/SVGAPlayer  org.opens...gaplayer  D     [SVGAProtoParser] parseMovieParamsFromReader: width (FLOAT)=750
03-13 17:26:53.101   27885-27885   A00001/org.ope...er/SVGAPlayer  org.opens...gaplayer  D     [SVGAProtoParser] parseMovieParamsFromReader: tag=21, fieldNum=2, wireType=5, pos=6
03-13 17:26:53.101   27885-27885   A00001/org.ope...er/SVGAPlayer  org.opens...gaplayer  D     [SVGAProtoParser] parseMovieParamsFromReader: height (FLOAT)=1334
03-13 17:26:53.101   27885-27885   A00001/org.ope...er/SVGAPlayer  org.opens...gaplayer  D     [SVGAProtoParser] parseMovieParamsFromReader: tag=24, fieldNum=3, wireType=0, pos=11
03-13 17:26:53.101   27885-27885   A00001/org.ope...er/SVGAPlayer  org.opens...gaplayer  D     [SVGAProtoParser] parseMovieParamsFromReader: fps=20
03-13 17:26:53.101   27885-27885   A00001/org.ope...er/SVGAPlayer  org.opens...gaplayer  D     [SVGAProtoParser] parseMovieParamsFromReader: tag=32, fieldNum=4, wireType=0, pos=13
03-13 17:26:53.101   27885-27885   A00001/org.ope...er/SVGAPlayer  org.opens...gaplayer  D     [SVGAProtoParser] parseMovieParamsFromReader: frames=140
03-13 17:26:53.101   27885-27885   A00001/org.ope...er/SVGAPlayer  org.opens...gaplayer  I     [SVGAProtoParser] parseMovieParamsFromReader: completed, params={"width":750,"height":1334,"fps":20,"frames":140}
03-13 17:26:53.101   27885-27885   A00001/org.ope...er/SVGAPlayer  org.opens...gaplayer  I     [SVGAProtoParser] parseMovieEntity: params parsed via LENGTH_DELIMITED: {"width":750,"height":1334,"fps":20,"frames":140}
03-13 17:26:53.101   27885-27885   A00001/org.ope...er/SVGAPlayer  org.opens...gaplayer  D     [SVGAProtoParser] parseMovieEntity: tag=26, fieldNum=3, wireType=2, pos=25
03-13 17:26:53.101   27885-27885   A00001/org.ope...er/SVGAPlayer  org.opens...gaplayer  D     [SVGAProtoParser] parseMovieEntity: tag=26, fieldNum=3, wireType=2, pos=16515
03-13 17:26:53.101   27885-27885   A00001/org.ope...er/SVGAPlayer  org.opens...gaplayer  D     [SVGAProtoParser] parseMovieEntity: tag=26, fieldNum=3, wireType=2, pos=33123
03-13 17:26:53.101   27885-27885   A00001/org.ope...er/SVGAPlayer  org.opens...gaplayer  D     [SVGAProtoParser] parseMovieEntity: tag=26, fieldNum=3, wireType=2, pos=50929
03-13 17:26:53.101   27885-27885   A00001/org.ope...er/SVGAPlayer  org.opens...gaplayer  D     [SVGAProtoParser] parseMovieEntity: tag=26, fieldNum=3, wireType=2, pos=72508
03-13 17:26:53.101   27885-27885   A00001/org.ope...er/SVGAPlayer  org.opens...gaplayer  D     [SVGAProtoParser] parseMovieEntity: tag=26, fieldNum=3, wireType=2, pos=99968
03-13 17:26:53.101   27885-27885   A00001/org.ope...er/SVGAPlayer  org.opens...gaplayer  D     [SVGAProtoParser] parseMovieEntity: tag=26, fieldNum=3, wireType=2, pos=127594
03-13 17:26:53.101   27885-27885   A00001/org.ope...er/SVGAPlayer  org.opens...gaplayer  D     [SVGAProtoParser] parseMovieEntity: tag=34, fieldNum=4, wireType=2, pos=132098
03-13 17:26:53.101   27885-27885   A00001/org.ope...er/SVGAPlayer  org.opens...gaplayer  D     [SVGAProtoParser] parseFrameEntityFromReader: starting, reader.pos=0, reader.len=39
03-13 17:26:53.101   27885-27885   A00001/org.ope...er/SVGAPlayer  org.opens...gaplayer  D     [SVGAProtoParser] parseFrameEntityFromReader: fieldNum=1, wireType=5, pos=1
03-13 17:26:53.101   27885-27885   A00001/org.ope...er/SVGAPlayer  org.opens...gaplayer  D     [SVGAProtoParser] parseFrameEntityFromReader: alpha (FLOAT)=0.019999999552965164
03-13 17:26:53.101   27885-27885   A00001/org.ope...er/SVGAPlayer  org.opens...gaplayer  D     [SVGAProtoParser] parseFrameEntityFromReader: fieldNum=2, wireType=2, pos=6
03-13 17:26:53.101   27885-27885   A00001/org.ope...er/SVGAPlayer  org.opens...gaplayer  D     [SVGAProtoParser] parseLayoutFromReader: starting, reader.pos=0, reader.len=10
03-13 17:26:53.101   27885-27885   A00001/org.ope...er/SVGAPlayer  org.opens...gaplayer  D     [SVGAProtoParser] parseLayoutFromReader: fieldNum=3, wireType=5, pos=1
03-13 17:26:53.101   27885-27885   A00001/org.ope...er/SVGAPlayer  org.opens...gaplayer  D     [SVGAProtoParser] parseLayoutFromReader: width=400
03-13 17:26:53.101   27885-27885   A00001/org.ope...er/SVGAPlayer  org.opens...gaplayer  D     [SVGAProtoParser] parseLayoutFromReader: fieldNum=4, wireType=5, pos=6
03-13 17:26:53.101   27885-27885   A00001/org.ope...er/SVGAPlayer  org.opens...gaplayer  D     [SVGAProtoParser] parseLayoutFromReader: height=322
03-13 17:26:53.101   27885-27885   A00001/org.ope...er/SVGAPlayer  org.opens...gaplayer  D     [SVGAProtoParser] parseLayoutFromReader: completed, layout={"x":0,"y":0,"width":400,"height":322}
03-13 17:26:53.101   27885-27885   A00001/org.ope...er/SVGAPlayer  org.opens...gaplayer  D     [SVGAProtoParser] parseFrameEntityFromReader: fieldNum=3, wireType=2, pos=18
